source,post_type,post_id,author,date,title,content,type_slug,rating_data,rating,likes,dislikes,approved,pinned
post,product,26112,,2024-04-27 11:40:05,Tjrs satisfaite de vos produits.,Tjrs satisfaite de vos produits.,,"a:4:{s:11:""field_label"";s:6:""Rating"";s:11:""field_value"";s:32:""Tjrs satisfaite de vos produits."";s:10:""field_step"";i:1;s:9:""field_max"";i:5;}",100,0,0,1,0
post,product,24214,,2024-04-27 11:39:48,Est ce normal que le,Est ce normal que le masque me brûle et après fini par s’apaiser ?,,"a:4:{s:11:""field_label"";s:6:""Rating"";s:11:""field_value"";s:20:""Est ce normal que le"";s:10:""field_step"";i:1;s:9:""field_max"";i:5;}",100,0,0,1,0
post,product,13426,,2024-04-24 16:15:19,Je l&#x27;utilise quotidiennement et je,"Je l&#x27;utilise quotidiennement et je n&#x27; ai rien à dire de plus , juste parfaite cette crème.
Le l&#x27;IP glow est génial puisque je l&#x27;ai testé mais je n&#x27; ai pas encore utilisé le gel de protection solaire et donc aucun avis pour le moment , merci.",,"a:4:{s:11:""field_label"";s:6:""Rating"";s:11:""field_value"";s:39:""Je l&#x27;utilise quotidiennement et je"";s:10:""field_step"";i:1;s:9:""field_max"";i:5;}",100,0,0,1,0
post,product,13426,11777,2024-04-23 22:57:50,Superbe crème solaire.,Superbe crème solaire.,,"a:4:{s:11:""field_label"";s:6:""Rating"";s:11:""field_value"";s:22:""Superbe crème solaire."";s:10:""field_step"";i:1;s:9:""field_max"";i:5;}",100,0,0,1,0
post,product,26260,11764,2024-04-22 11:29:21,Je rachèterai le grand format,Je rachèterai le grand format,,"a:4:{s:11:""field_label"";s:6:""Rating"";s:11:""field_value"";s:29:""Je rachèterai le grand format"";s:10:""field_step"";i:1;s:9:""field_max"";i:5;}",80,0,0,1,0
post,product,26112,11764,2024-04-22 11:28:42,Goût légèrement amer,Goût légèrement amer,,"a:4:{s:11:""field_label"";s:6:""Rating"";s:11:""field_value"";s:20:""Goût légèrement amer"";s:10:""field_step"";i:1;s:9:""field_max"";i:5;}",80,0,0,1,0
post,product,4570,,2024-04-22 09:17:36,Excellent,Excellent,,"a:4:{s:11:""field_label"";s:6:""Rating"";s:11:""field_value"";s:9:""Excellent"";s:10:""field_step"";i:1;s:9:""field_max"";i:5;}",100,0,0,1,0
post,product,26260,,2024-04-22 09:15:54,Très bon produit !je suis,Très bon produit !je suis vraiment satisfaite,,"a:4:{s:11:""field_label"";s:6:""Rating"";s:11:""field_value"";s:25:""Très bon produit !je suis"";s:10:""field_step"";i:1;s:9:""field_max"";i:5;}",100,0,0,1,0
post,product,2761,11763,2024-04-21 21:47:09,Bonjour sybillete avis de la,Bonjour sybillete avis de la pierre jaune résultat parfait :smile:,,"a:4:{s:11:""field_label"";s:6:""Rating"";s:11:""field_value"";s:28:""Bonjour sybillete avis de la"";s:10:""field_step"";i:1;s:9:""field_max"";i:5;}",100,0,0,1,0
post,product,20060,,2024-04-21 21:37:41,J’aime vraiment beaucoup trop !!!,J’aime vraiment beaucoup trop !!!,,"a:4:{s:11:""field_label"";s:6:""Rating"";s:11:""field_value"";s:33:""J’aime vraiment beaucoup trop !!!"";s:10:""field_step"";i:1;s:9:""field_max"";i:5;}",100,0,0,1,0
post,product,24209,,2024-04-21 18:33:59,Très efficace contre les taches,Très efficace contre les taches,,"a:4:{s:11:""field_label"";s:6:""Rating"";s:11:""field_value"";s:31:""Très efficace contre les taches"";s:10:""field_step"";i:1;s:9:""field_max"";i:5;}",100,0,0,1,0
post,product,20061,,2024-04-21 03:44:31,Que dire !!! Le combooo,Que dire !!! Le combooo crème sérum fait des miracle sur ma peau,,"a:4:{s:11:""field_label"";s:6:""Rating"";s:11:""field_value"";s:23:""Que dire !!! Le combooo"";s:10:""field_step"";i:1;s:9:""field_max"";i:5;}",100,0,0,1,0
post,product,24209,,2024-04-21 03:43:11,Meilleure nettoyant ! Il m’a,Meilleure nettoyant ! Il m’a permis de combattre mon teint terne et surtout niveau bouton sa m’a permis de ne pas avoir de tache juste après franchement TOP,,"a:4:{s:11:""field_label"";s:6:""Rating"";s:11:""field_value"";s:28:""Meilleure nettoyant ! Il m’a"";s:10:""field_step"";i:1;s:9:""field_max"";i:5;}",100,0,0,1,0
post,product,20062,11761,2024-04-19 15:24:22,parfait,parfait,,"a:4:{s:11:""field_label"";s:6:""Rating"";s:11:""field_value"";s:7:""parfait"";s:10:""field_step"";i:1;s:9:""field_max"";i:5;}",100,0,0,1,0
post,product,20060,11761,2024-04-19 15:24:10,bon,bon,,"a:4:{s:11:""field_label"";s:6:""Rating"";s:11:""field_value"";s:3:""bon"";s:10:""field_step"";i:1;s:9:""field_max"";i:5;}",100,0,0,1,0
post,product,21956,11726,2024-04-19 01:21:17,Très bien produits,Très bien produits,,"a:4:{s:11:""field_label"";s:6:""Rating"";s:11:""field_value"";s:18:""Très bien produits"";s:10:""field_step"";i:1;s:9:""field_max"";i:5;}",100,0,0,1,0
post,product,7213,11718,2024-04-17 13:00:56,J&#x27;adore :u1F970::heart_eyes::fire:,Je suis très satisfait de ma palette créative j&#x27;adore :heart_eyes:merci beaucoup,,"a:4:{s:11:""field_label"";s:6:""Rating"";s:11:""field_value"";s:39:""J&#x27;adore :u1F970::heart_eyes::fire:"";s:10:""field_step"";i:1;s:9:""field_max"";i:5;}",100,0,0,1,0
post,product,26260,11742,2024-04-16 11:04:17,Je n’est pas vue de,Je n’est pas vue de changement sur mon acné,,"a:4:{s:11:""field_label"";s:6:""Rating"";s:11:""field_value"";s:19:""Je n’est pas vue de"";s:10:""field_step"";i:1;s:9:""field_max"";i:5;}",60,0,0,1,0
post,product,29712,11745,2024-04-16 09:13:31,Très bien,Il est très bien ne laisse aucune trace j’ai une peau seche à la base et comme je l’hydrate beaucoup je me permet de l’utiliser pour avoir un fini mat,,"a:4:{s:11:""field_label"";s:6:""Rating"";s:11:""field_value"";s:9:""Très bien"";s:10:""field_step"";i:1;s:9:""field_max"";i:5;}",100,0,0,1,0
post,product,20060,10434,2024-04-15 08:24:51,Très bon creme au Curcuma,C&#x27;est la deuxième fois que je commande et je ne suis pas du tout déçu. Merci pour tous que vous êtes.,,"a:4:{s:11:""field_label"";s:6:""Rating"";s:11:""field_value"";s:25:""Très bon creme au Curcuma"";s:10:""field_step"";i:1;s:9:""field_max"";i:5;}",80,0,0,1,0
post,product,2761,,2024-04-14 21:11:21,Utilisation pierre jaune,Ça fait 3 semaines que j’ai commencé à l’utiliser et ça a bien l’air de marché. On verra sur le long terme.,,"a:4:{s:11:""field_label"";s:6:""Rating"";s:11:""field_value"";s:24:""Utilisation pierre jaune"";s:10:""field_step"";i:1;s:9:""field_max"";i:5;}",80,0,0,1,0
post,product,20061,11691,2024-04-13 07:27:55,Excellent produit,Excellent produit,,"a:4:{s:11:""field_label"";s:6:""Rating"";s:11:""field_value"";s:17:""Excellent produit"";s:10:""field_step"";i:1;s:9:""field_max"";i:5;}",100,0,0,1,0
post,product,24217,,2024-04-12 15:48:29,J’adore l’effet doux sur ma,J’adore l’effet doux sur ma peau! C’est LA ROUTINE SKINCARE.,,"a:4:{s:11:""field_label"";s:6:""Rating"";s:11:""field_value"";s:27:""J’adore l’effet doux sur ma"";s:10:""field_step"";i:1;s:9:""field_max"";i:5;}",100,0,0,1,0
post,product,2761,,2024-04-12 10:26:01,Effet secondaire Pierre jaune,"Ca m&#x27;a completement Brule le Visage
..malheureusement.",,"a:4:{s:11:""field_label"";s:6:""Rating"";s:11:""field_value"";s:29:""Effet secondaire Pierre jaune"";s:10:""field_step"";i:1;s:9:""field_max"";i:5;}",40,0,0,1,0
